size,2d_exotic_amg_1,2d_exotic_amg_2,2d_exotic_amg_3,2d_exotic_dmso_1,2d_exotic_dmso_2,2d_exotic_dmso_3
0.5,0,0,,0,0,0
1.5,0,0,0,0,0,0
2.5,0,0,0,0,0,0
3.5,0,0,0,0,0,0
4.5,0,0,0,0,0,0
5.5,0,220,0,0,0,90
6.5,0,7570,0,0,0,990
7.5,0,60940,0,0,0,5110
8.5,0,354890,0,0,0,16220
9.5,0,1562450,8580,0,0,36630
10.5,970,4030780,964600,10,0,64470
11.5,87330,7194030,13362440,130,0,94380
12.5,1566500,10742710,50469430,840,0,120980
13.5,9341040,14216540,86758970,4050,70,141930
14.5,26444650,16576980,92939230,14730,480,158380
15.5,45418450,17279140,74643170,41940,2100,173610
16.5,55976870,16737960,50150000,97250,6470,191510
17.5,55563030,15689100,30302440,190600,14980,215790
18.5,48127540,14641000,17456890,325770,27220,249710
19.5,38496490,13806820,10130590,499080,40410,295960
20.5,29612610,13230350,6245440,702700,50750,356220
21.5,22554330,12893300,4288900,930950,55660,430450
22.5,17365430,12763120,3401390,1186300,54880,515940
23.5,13708950,12801030,3176420,1482520,50100,606870
24.5,11196370,12955200,3484950,1841740,43910,694820
25.5,9505450,13155650,4376710,2281280,39330,770500
26.5,8400710,13318490,6024990,2787710,40050,826360
27.5,7720210,13359390,8648790,3288820,51440,858980
28.5,7355950,13211180,12332550,3653500,81640,870260
29.5,7236740,12838740,16750990,3746140,142000,866560
30.5,7315450,12245650,21081290,3513030,246120,856260
31.5,7559930,11470850,24575230,3027660,406660,846700
32.5,7946720,10577230,27724800,2446340,630200,841810
33.5,8456630,9636810,32830540,1914450,911490,841300
34.5,9071750,8717170,42723870,1504640,1229740,841560
35.5,9773450,7872130,58224430,1219230,1549650,837550
36.5,10541440,7137630,76583660,1026880,1828230,824720
37.5,11353390,6531900,92466990,893860,2025540,800480
38.5,12185480,6058480,100762490,796730,2115480,764570
39.5,13013460,5710920,99108750,722290,2092080,718820
40.5,13814330,5478700,88589760,663810,1969260,666320
41.5,14568510,5352690,72616630,617830,1774770,610640
42.5,15262330,5326940,55110620,582360,1541610,555110
43.5,15890430,5392820,39102020,556030,1300170,502410
44.5,16457520,5527860,26198890,537810,1073350,454440
45.5,16979020,5688990,16760640,526850,875080,412280
46.5,17479850,5819710,10377020,522430,711310,376410
47.5,17991290,5868900,6330990,523970,582240,346810
48.5,18546110,5808990,3903200,531010,484610,323200
49.5,19172720,5642000,2512860,543180,413630,305150
50.5,19889440,5392540,1748080,560210,364220,292270
51.5,20700100,5094730,1342090,582020,331640,284530
52.5,21591920,4780870,1133660,608920,311830,282570
53.5,22536120,4475450,1030600,642030,301470,288170
54.5,23491250,4193950,982690,684390,297860,304370
55.5,24408420,3944400,963850,742990,298930,334850
56.5,25237540,3729760,961380,832100,303050,382360
57.5,25933280,3549970,969890,977170,309040,446740
58.5,26459920,3403370,988140,1216040,316050,523550
59.5,26794370,3287610,1017500,1591480,323540,604430
60.5,26927260,3200180,1061380,2129690,331230,679290
61.5,26862230,3138620,1125200,2808990,339030,739390
62.5,26613920,3100690,1216640,3538120,347040,779780
63.5,26205120,3084440,1345930,4169630,355510,800220
64.5,25663740,3088180,1526110,4554170,364750,804460
65.5,25019980,3110560,1772960,4607340,375180,798550
66.5,24303940,3150540,2104410,4345270,387240,789050
67.5,23543820,3207390,2539310,3867500,401410,781680
68.5,22764760,3280660,3095340,3304760,418140,780700
69.5,21988240,3370220,3786150,2767720,437910,788820
70.5,21231880,3476250,4618130,2321360,461200,807480
71.5,20509610,3599190,5587170,1986070,488460,837190
72.5,19831970,3739770,6676230,1752880,520190,877910
73.5,19206650,3898950,7854350,1600060,556880,929290
74.5,18638920,4077920,9077720,1504390,599090,990870
75.5,18132170,4278010,10292780,1446580,647400,1062110
76.5,17688350,4500590,11441250,1412660,702420,1142500
77.5,17308370,4747000,12466080,1393320,764810,1231490
78.5,16992460,5018370,13317560,1382780,835190,1328520
79.5,16740430,5315460,13958330,1377650,914150,1433020
80.5,16551890,5638520,14366670,1376050,1002180,1544410
81.5,16426440,5987080,14537570,1377030,1099640,1662090
82.5,16363780,6359890,14481670,1380250,1206700,1785500
83.5,16363830,6754760,14222520,1385680,1323330,1914090
84.5,16426750,7168660,13792770,1393490,1449330,2047390
85.5,16553000,7597700,13230060,1404010,1584280,2185010
86.5,16743320,8037380,12573120,1417590,1727650,2326670
87.5,16998730,8482760,11858660,1434680,1878830,2472220
88.5,17320490,8928770,11119090,1455730,2037230,2621630
89.5,17710010,9370500,10381250,1481240,2202320,2775000
90.5,18168780,9803480,9665910,1511730,2373720,2932570
91.5,18698250,10223900,8987970,1547750,2551260,3094720
92.5,19299720,10628760,8357060,1589880,2735050,3261900
93.5,19974200,11015950,7778380,1638770,2925440,3434690
94.5,20722210,11384260,7253650,1695100,3123100,3613760
95.5,21543660,11733260,6782000,1759610,3328970,3799850
96.5,22437660,12063160,6360780,1833150,3544260,3993770
97.5,23402380,12374660,5986220,1916600,3770390,4196380
98.5,24434860,12668730,5653960,2011000,4009000,4408600
99.5,25530940,12946460,5359470,2117470,4261840,4631400
100.5,26685140,13208870,5098300,2237260,4530790,4865770
101.5,27890650,13456820,4866270,2371800,4817770,5112750
102.5,29139290,13690890,4659580,2522640,5124700,5373380
