size,2d_exotic_amg_1,2d_exotic_amg_2,2d_exotic_amg_3,2d_exotic_dmso_1,2d_exotic_dmso_2,2d_exotic_dmso_3
103.5,30421620,13911370,4474860,2691580,5453490,5648720
104.5,31727040,14118250,4309190,2880580,5805970,5939840
105.5,33043980,14311200,4160090,3091860,6183860,6247750
106.5,34360080,14489640,4025450,3327880,6588720,6573450
107.5,35662510,14652790,3903550,3591380,7021970,6917830
108.5,36938250,14799730,3792980,3885400,7484780,7281700
109.5,38174360,14929410,3692600,4213250,7978110,7665690
110.5,39358310,15040800,3601510,4578560,8502690,8070270
111.5,40478290,15132840,3519000,4985250,9058940,8495680
112.5,41523420,15204550,3444530,5437480,9647040,8941910
113.5,42484020,15255040,3377680,5939660,10266870,9408640
114.5,43351770,15283540,3318160,6496320,10918040,9895270
115.5,44119810,15289400,3265730,7112060,11599880,10400820
116.5,44782860,15272170,3220250,7791390,12311460,10924020
117.5,45337180,15231520,3181640,8538640,13051630,11463230
118.5,45780610,15167340,3149830,9357710,13819010,12016520
119.5,46112470,15079650,3124810,10251920,14612030,12581660
120.5,46333470,14968710,3106610,11223770,15428960,13156170
121.5,46445620,14834900,3095240,12274730,16267950,13737390
122.5,46452070,14678830,3090760,13405010,17127060,14322500
123.5,46356980,14501250,3093230,14613360,18004250,14908610
124.5,46165410,14303090,3102730,15896930,18897490,15492820
125.5,45883110,14085430,3119330,17251090,19804670,16072260
126.5,45516480,13849500,3143130,18669430,20723730,16644160
127.5,45072330,13596670,3174210,20143750,21652590,17205910
128.5,44557850,13328420,3212670,21664110,22589210,17755100
129.5,43980450,13046330,3258590,23219080,23531570,18289550
130.5,43347670,12752050,3312060,24795890,24477650,18807320
131.5,42667040,12447300,3373160,26380790,25425460,19306760
132.5,41946060,12133840,3441970,27959390,26373020,19786500
133.5,41192050,11813440,3518540,29517030,27318330,20245450
134.5,40412090,11487850,3602940,31039210,28259350,20682770
135.5,39612960,11158820,3695190,32511950,29194020,21097890
136.5,38801060,10828020,3795310,33922190,30120210,21490470
137.5,37982370,10497100,3903300,35258060,31035730,21860380
138.5,37162370,10167580,4019140,36509190,31938280,22207690
139.5,36346040,9840930,4142760,37666860,32825500,22532610
140.5,35537820,9518490,4274100,38724150,33694910,22835500
141.5,34741560,9201480,4413020,39675950,34543950,23116840
142.5,33960550,8891030,4559400,40519000,35369960,23377180
143.5,33197500,8588120,4713040,41251760,36170190,23617160
144.5,32454550,8293620,4873720,41874300,36941860,23837470
145.5,31733280,8008290,5041170,42388170,37682110,24038830
146.5,31034750,7732740,5215090,42796160,38388090,24221970
147.5,30359520,7467490,5395140,43102120,39056950,24387650
148.5,29707690,7212950,5580910,43310770,39685890,24536620
149.5,29078930,6969420,5771960,43427490,40272180,24669620
150.5,28472540,6737110,5967820,43458110,40813240,24787370
151.5,27887500,6516130,6167950,43408790,41306600,24890560
152.5,27322480,6306540,6371770,43285810,41750040,24979860
153.5,26775950,6108300,6578660,43095470,42141520,25055900
154.5,26246170,5921320,6787960,42843990,42479300,25119280
155.5,25731270,5745460,6998970,42537410,42761910,25170540
156.5,25229270,5580520,7210930,42181530,42988220,25210180
157.5,24738180,5426260,7423080,41781850,43157420,25238640
158.5,24255940,5282400,7634600,41343570,43269070,25256310
159.5,23780570,5148630,7844650,40871510,43323100,25263520
160.5,23310120,5024600,8052370,40370160,43319780,25260540
161.5,22842740,4909950,8256860,39843680,43259790,25247570
162.5,22376690,4804290,8457240,39295840,43144120,25224740
163.5,21910400,4707190,8652580,38730120,42974130,25192110
164.5,21442430,4618230,8841980,38149650,42751500,25149690
165.5,20971530,4536950,9024520,37557290,42478180,25097380
166.5,20496670,4462880,9199310,36955610,42156430,25035040
167.5,20016980,4395510,9365460,36346930,41788710,24962450
168.5,19531840,4334360,9522110,35733320,41377700,24879340
169.5,19040810,4278880,9668430,35116660,40926240,24785350
170.5,18543680,4228540,9803630,34498610,40437320,24680090
171.5,18040450,4182790,9926950,33880680,39914000,24563110
172.5,17531320,4141050,10037700,33264190,39359400,24433910
173.5,17016660,4102750,10135240,32650340,38776690,24291970
174.5,16497060,4067300,10218990,32040220,38168990,24136750
175.5,15973250,4034120,10288450,31434760,37539430,23967710
176.5,15446100,4002610,10343200,30834840,36891040,23784280
177.5,14916630,3972180,10382880,30241210,36226770,23585940
178.5,14385960,3942270,10407230,29654590,35549480,23372200
179.5,13855300,3912300,10416080,29075570,34861870,23142600
180.5,13325920,3881730,10409330,28504730,34166530,22896750
181.5,12799150,3850040,10387000,27942580,33465880,22634340
182.5,12276320,3816740,10349190,27389550,32762180,22355140
183.5,11758770,3781380,10296070,26846070,32057530,22059020
184.5,11247830,3743540,10227940,26312500,31353840,21745970
185.5,10744790,3702870,10145150,25789160,30652890,21416100
186.5,10250870,3659050,10048160,25276340,29956260,21069650
187.5,9767230,3611820,9937500,24774300,29265360,20706970
188.5,9294940,3560980,9813760,24283230,28581470,20328590
189.5,8834980,3506390,9677620,23803330,27905680,19935130
190.5,8388230,3447960,9529800,23334740,27238970,19527380
191.5,7955440,3385690,9371090,22877560,26582150,19106240
192.5,7537260,3319590,9202320,22431870,25935910,18672740
193.5,7134220,3249780,9024350,21997690,25300830,18228020
194.5,6746730,3176400,8838070,21575030,24677350,17773320
195.5,6375080,3099640,8644390,21163850,24065820,17309950
196.5,6019450,3019750,8444250,20764070,23466500,16839330
197.5,5679920,2937030,8238560,20375580,22879560,16362900
198.5,5356460,2851780,8028250,19998240,22305100,15882150
199.5,5048950,2764360,7814220,19631850,21743120,15398590
200.5,4757180,2675130,7597380,19276200,21193590,14913740
201.5,4480860,2584490,7378580,18931030,20656420,14429090
202.5,4219640,2492830,7158650,18596070,20131460,13946100
203.5,3973090,2400540,6938390,18271000,19618530,13466210
204.5,3740770,2308030,6718560,17955480,19117420,12990780
205.5,3522140,2215680,6499860,17649140,18627870,12521080
206.5,3316670,2123870,6282940,17351600,18149610,12058340
207.5,3123780,2032960,6068430,17062440,17682370,11603650
208.5,2942880,1943290,5856880,16781250,17225830,11158040
209.5,2773360,1855170,5648800,16507590,16779690,10722410
210.5,2614620,1768900,5444630,16241000,16343630,10297570
211.5,2466040,1684710,5244780,15981030,15917310,9884210
212.5,2327010,1602860,5049600,15727220,15500430,9482920
213.5,2196940,1523530,4859380,15479100,15092660,9094170
214.5,2075220,1446890,4674370,15236210,14693700,8718320
215.5,1961310,1373080,4494790,14998110,14303220,8355670
216.5,1854640,1302210,4320790,14764340,13920940,8006380
217.5,1754680,1234340,4152480,14534470,13546570,7670550
218.5,1660940,1169540,3989960,14308060,13179830,7348180
219.5,1572920,1107820,3833260,14084730,12820460,7039210
220.5,1490190,1049190,3682410,13864060,12468220,6743510
221.5,1412320,993610,3537380,13645710,12122870,6460880
222.5,1338920,941060,3398130,13429320,11784200,6191070
223.5,1269610,891470,3264600,13214560,11452000,5933790
224.5,1204080,844770,3136700,13001150,11126090,5688720
225.5,1142000,800870,3014330,12788810,10806300,5455500
226.5,1083120,759680,2897360,12577290,10492490,5233730
227.5,1027180,721080,2785670,12366400,10184510,5023010
228.5,973960,684960,2679110,12155930,9882250,4822930
229.5,923270,651220,2577520,11945730,9585600,4633040
230.5,874950,619720,2480750,11735690,9294470,4452920
231.5,828860,590340,2388630,11525690,9008790,4282130
232.5,784870,562960,2300990,11315670,8728490,4120240
233.5,742890,537470,2217670,11105600,8453530,3966810
234.5,702840,513730,2138480,10895460,8183860,3821430
235.5,664640,491640,2063260,10685250,7919460,3683680
236.5,628260,471080,1991840,10475020,7660300,3553170
237.5,593640,451940,1924040,10264840,7406390,3429500
238.5,560750,434110,1859690,10054770,7157720,3312300
239.5,529570,417510,1798640,9844930,6914280,3201220
240.5,500080,402020,1740730,9635430,6676090,3095900
241.5,472260,387570,1685780,9426420,6443170,2996020
242.5,446090,374060,1633660,9218040,6215510,2901270
243.5,421550,361430,1584210,9010450,5993150,2811340
244.5,398620,349590,1537290,8803840,5776100,2725950
245.5,377270,338470,1492750,8598390,5564370,2644840
246.5,357460,328020,1450470,8394270,5357970,2567750
247.5,339180,318170,1410300,8191690,5156920,2494450
248.5,322360,308860,1372120,7990840,4961230,2424700
249.5,306980,300050,1335820,7791910,4770900,2358300
250.5,292970,291680,1301260,7595090,4585940,2295050
251.5,280280,283720,1268340,7400570,4406320,2234760
252.5,268850,276120,1236950,7208550,4232050,2177260
253.5,258630,268850,1206970,7019180,4063100,2122380
254.5,249540,261860,1178310,6832650,3899450,2069980
255.5,241520,255140,1150870,6649110,3741070,2019900
256.5,234510,248640,1124540,6468720,3587910,1972020
257.5,228450,242340,1099240,6291600,3439940,1926210
258.5,223270,236220,1074870,6117890,3297100,1882360
259.5,218910,230260,1051360,5947700,3159320,1840350
260.5,215320,224440,1028610,5781140,3026550,1800080
261.5,212460,218730,1006550,5618280,2898700,1761470
262.5,210260,213120,985090,5459210,2775700,1724420
263.5,208700,207590,964160,5303980,2657470,1688850
264.5,207720,202150,943700,5152640,2543900,1654690
265.5,207310,196760,923620,5005230,2434910,1621860
266.5,207440,191430,903870,4861750,2330390,1590300
267.5,208080,186150,884370,4722230,2230230,1559950
268.5,209210,180900,865080,4586650,2134330,1530740
269.5,210830,175700,845930,4455000,2042580,1502640
270.5,212920,170520,826870,4327250,1954860,1475570
271.5,215490,165380,807850,4203360,1871050,1449500
272.5,218530,160280,788830,4083280,1791030,1424390
273.5,222050,155210,769760,3966950,1714680,1400180
274.5,226050,150180,750600,3854300,1641890,1376850
275.5,230560,145200,731330,3745270,1572520,1354350
276.5,235570,140270,711910,3639750,1506460,1332650
277.5,241110,135390,692320,3537680,1443590,1311710
278.5,247210,130590,672540,3438950,1383790,1291500
279.5,253880,125860,652570,3343470,1326930,1272000
280.5,261140,121220,632390,3251140,1272910,1253160
281.5,269040,116670,612010,3161840,1221600,1234970
282.5,277600,112240,591420,3075470,1172900,1217380
283.5,286850,107930,570640,2991920,1126690,1200390
284.5,296830,103750,549690,2911090,1082860,1183950
285.5,307580,99720,528590,2832850,1041320,1168050
286.5,319140,95850,507360,2757110,1001950,1152650
287.5,331560,92150,486040,2683740,964660,1137730
288.5,344880,88640,464670,2612650,929340,1123270
289.5,359150,85330,443290,2543720,895920,1109250
290.5,374420,82220,421950,2476850,864290,1095620
291.5,390750,79330,400700,2411930,834380,1082380
292.5,408190,76670,379590,2348880,806090,1069490
293.5,426800,74250,358680,2287600,779350,1056940
294.5,446630,72060,338030,2227980,754080,1044690
295.5,467750,70130,317690,2169960,730200,1032720
296.5,490210,68450,297730,2113430,707640,1021020
297.5,514080,67030,278200,2058330,686340,1009550
298.5,539410,65870,259160,2004580,666230,998290
299.5,566270,64970,240670,1952110,647250,987210
300.5,594700,64330,222770,1900850,629340,976310
301.5,624770,63960,205510,1850750,612440,965540
302.5,656530,63840,188940,1801740,596490,954890
303.5,690010,63980,173090,1753780,581450,944350
304.5,725270,64370,157990,1706810,567270,933880
305.5,762330,65000,143670,1660790,553890,923470
306.5,801230,65880,130150,1615700,541280,913100
307.5,841970,66980,117440,1571480,529380,902750
308.5,884560,68310,105540,1528110,518160,892400
309.5,929000,69850,94460,1485550,507590,882050
310.5,975250,71600,84190,1443800,497610,871660
311.5,1023290,73540,74710,1402820,488200,861240
312.5,1073060,75660,66010,1362600,479320,850760
313.5,1124480,77960,58060,1323120,470940,840230
314.5,1177450,80420,50830,1284370,463030,829620
315.5,1231870,83030,44300,1246340,455550,818930
316.5,1287580,85770,38420,1209020,448480,808150
317.5,1344420,88640,33160,1172400,441790,797280
318.5,1402200,91620,28480,1136480,435450,786310
319.5,1460700,94700,24340,1101260,429440,775250
320.5,1519690,97860,20690,1066730,423730,764090
321.5,1578880,101090,17500,1032890,418290,752830
322.5,1637990,104370,14730,999750,413110,741470
323.5,1696690,107690,12330,967290,408170,730020
324.5,1754640,111030,10260,935520,403430,718480
325.5,1811480,114380,8490,904450,398890,706850
326.5,1866830,117730,6990,874070,394510,695140
327.5,1920290,121040,5720,844380,390290,683370
328.5,1971450,124320,4660,815380,386200,671520
329.5,2019900,127540,3770,787080,382230,659620
330.5,2065230,130680,3030,759470,378350,647670
331.5,2107010,133740,2430,732550,374560,635690
332.5,2144840,136680,1930,706320,370840,623680
333.5,2178340,139500,1520,680790,367180,611640
334.5,2207140,142180,1200,655940,363550,599600
335.5,2230890,144700,930,631770,359950,587560
336.5,2249290,147050,720,608290,356380,575540
337.5,2262070,149210,560,585480,352810,563530
338.5,2268990,151160,430,563340,349230,551560
339.5,2269900,152900,330,541860,345650,539630
340.5,2264660,154410,250,521050,342060,527760
341.5,2253200,155680,180,500880,338440,515950
342.5,2235530,156700,140,481360,334790,504200
343.5,2211700,157460,100,462470,331120,492540
344.5,2181830,157950,80,444200,327410,480970
345.5,2146090,158160,60,426550,323680,469500
346.5,2104730,158090,40,409500,319910,458130
347.5,2058030,157750,30,393040,316120,446870
348.5,2006350,157110,20,377170,312310,435730
349.5,1950080,156190,10,361860,308470,424720
350.5,1889660,154990,10,347110,304630,413830
351.5,1825560,153510,0,332900,300780,403090
352.5,1758280,151760,0,319230,296940,392490
353.5,1688340,149740,0,306070,293120,382030
354.5,1616270,147460,0,293410,289320,371730
355.5,1542600,144930,0,281240,285570,361590
356.5,1467880,142170,0,269550,281880,351600
357.5,1392600,139180,0,258330,278250,341780
358.5,1317290,135980,0,247550,274710,332130
359.5,1242410,132600,0,237200,271280,322650
360.5,1168400,129030,0,227280,267970,313340
361.5,1095680,125300,0,217760,264790,304200
362.5,1024610,121440,0,208630,261780,295250
363.5,955530,117450,0,199890,258930,286470
364.5,888710,113350,0,191510,256280,277870
365.5,824380,109180,0,183490,253840,269450
366.5,762750,104930,0,175800,251630,261220
367.5,703960,100640,0,168450,249670,253170
368.5,648120,96320,0,161410,247960,245310
369.5,595300,91990,0,154670,246530,237630
370.5,545520,87670,0,148230,245400,230140
371.5,498780,83370,0,142070,244570,222830
372.5,455050,79110,0,136170,244050,215700
373.5,414270,74910,0,130540,243870,208760
374.5,376370,70780,0,125150,244030,202010
375.5,341240,66730,0,120000,244540,195430
376.5,308770,62780,0,115080,245410,189040
377.5,278840,58930,0,110380,246630,182820
378.5,251330,55200,0,105890,248230,176780
379.5,226090,51590,0,101600,250200,170920
380.5,203000,48110,0,97500,252540,165240
381.5,181910,44770,0,93580,255250,159720
382.5,162690,41570,0,89840,258330,154380
383.5,145210,38510,0,86270,261780,149200
384.5,129340,35600,0,82860,265600,144190
385.5,114960,32840,0,79600,269780,139340
386.5,101970,30220,0,76490,274310,134650
387.5,90240,27760,0,73520,279180,130120
388.5,79670,25430,0,70680,284390,125740
389.5,70170,23250,0,67970,289930,121510
390.5,61660,21220,0,65380,295780,117420
391.5,54030,19310,0,62910,301940,113480
392.5,47220,17540,0,60550,308390,109680
393.5,41160,15900,0,58300,315110,106020
394.5,35770,14380,0,56150,322090,102480
395.5,30990,12980,0,54100,329330,99080
396.5,26770,11700,0,52140,336790,95800
397.5,23050,10520,0,50260,344460,92650
398.5,19790,9440,0,48480,352330,89610
399.5,16920,8460,0,46770,360380,86690
400.5,14430,7560,0,45140,368580,83880
401.5,12250,6760,0,43590,376920,81180
402.5,10370,6030,0,42100,385380,78580
403.5,8740,5380,0,40680,393940,76080
404.5,7340,4800,0,39330,402560,73680
405.5,6150,4280,0,38030,411240,71380
406.5,5120,3820,0,36800,419940,69160
407.5,4250,3430,0,35620,428650,67030
408.5,3520,3080,0,34500,437340,64990
409.5,2890,2790,0,33420,445980,63020
410.5,2370,2540,0,32400,454550,61130
411.5,1940,2350,0,31420,463020,59320
412.5,1580,2190,0,30480,471360,57580
413.5,1280,2080,0,29590,479550,55900
414.5,1030,2000,0,28740,487570,54300
415.5,820,1970,0,27930,495370,52750
416.5,660,1980,0,27160,502940,51270
417.5,520,2030,0,26420,510240,49840
418.5,420,2120,0,25710,517250,48470
419.5,330,2260,0,25040,523950,47150
420.5,260,2440,0,24400,530290,45880
421.5,200,2670,0,23790,536260,44660
422.5,160,2950,0,23210,541830,43490
423.5,120,3280,0,22660,546980,42360
424.5,90,3670,0,22130,551670,41270
425.5,70,4120,0,21630,555880,40220
426.5,50,4640,0,21160,559600,39210
427.5,40,5230,0,20700,562800,38240
428.5,30,5900,0,20270,565460,37300
429.5,20,6650,0,19860,567560,36400
430.5,20,7490,0,19480,569080,35530
431.5,10,8420,0,19110,570020,34680
432.5,0,9460,0,18760,570350,33870
433.5,0,10610,0,18430,570080,33090
434.5,0,11880,0,18120,569180,32330
435.5,0,13270,0,17820,567650,31590
436.5,0,14800,0,17550,565500,30880
437.5,0,16460,0,17280,562710,30200
438.5,0,18260,0,17040,559300,29530
439.5,0,20220,0,16810,555260,28890
440.5,0,22330,0,16590,550610,28270
441.5,0,24610,0,16390,545350,27660
442.5,0,27040,0,16200,539490,27080
443.5,0,29650,0,16030,533050,26510
444.5,0,32430,0,15870,526050,25960
445.5,0,35380,0,15720,518500,25420
446.5,0,38500,0,15580,510430,24900
447.5,0,41780,0,15460,501860,24400
448.5,0,45230,0,15340,492820,23910
449.5,0,48840,0,15240,483330,23440
450.5,0,52600,0,15150,473430,22970
451.5,0,56510,0,15070,463140,22530
452.5,0,60540,0,15000,452500,22090
453.5,0,64690,0,14940,441530,21670
454.5,0,68940,0,14900,430280,21250
455.5,0,73280,0,14860,418780,20850
456.5,0,77690,0,14830,407060,20470
457.5,0,82140,0,14810,395150,20090
458.5,0,86610,0,14800,383100,19720
459.5,0,91080,0,14800,370940,19370
460.5,0,95530,0,14810,358710,19020
461.5,0,99930,0,14820,346420,18690
462.5,0,104240,0,14850,334130,18360
463.5,0,108450,0,14880,321860,18040
464.5,0,112530,0,14930,309650,17740
465.5,0,116440,0,14980,297520,17440
466.5,0,120160,0,15040,285500,17160
467.5,0,123660,0,15110,273620,16880
468.5,0,126920,0,15190,261900,16610
469.5,0,129910,0,15270,250370,16350
470.5,0,132610,0,15360,239050,16100
471.5,0,135000,0,15470,227960,15860
472.5,0,137060,0,15570,217120,15630
473.5,0,138770,0,15690,206550,15410
474.5,0,140120,0,15820,196250,15200
475.5,0,141090,0,15950,186240,15000
476.5,0,141690,0,16090,176530,14800
477.5,0,141900,0,16240,167140,14620
478.5,0,141720,0,16390,158060,14440
479.5,0,141150,0,16550,149300,14280
480.5,0,140210,0,16720,140870,14120
481.5,0,138890,0,16900,132770,13970
482.5,0,137210,0,17080,124990,13840
483.5,0,135180,0,17270,117550,13710
484.5,0,132820,0,17470,110430,13590
485.5,0,130150,0,17680,103630,13480
486.5,0,127180,0,17890,97150,13380
487.5,0,123940,0,18110,90980,13300
488.5,0,120460,0,18330,85120,13220
489.5,0,116760,0,18570,79560,13150
490.5,0,112870,0,18800,74290,13100
491.5,0,108810,0,19050,69310,13050
492.5,0,104610,0,19300,64590,13020
493.5,0,100310,0,19560,60150,12990
494.5,0,95920,0,19820,55960,12980
495.5,0,91480,0,20090,52010,12990
496.5,0,87010,0,20360,48310,13000
497.5,0,82540,0,20640,44830,13030
498.5,0,78080,0,20930,41560,13070
499.5,0,73670,0,21220,38500,13120
500.5,0,69330,0,21510,35640,13190
501.5,0,65060,0,21810,32970,13270
502.5,0,60900,0,22110,30470,13370
503.5,0,56850,0,22420,28140,13490
504.5,0,52930,0,22740,25970,13620
505.5,0,49150,0,23050,23950,13760
506.5,0,45520,0,23370,22070,13930
507.5,0,42040,0,23690,20320,14120
508.5,0,38730,0,24020,18700,14320
509.5,0,35590,0,24350,17190,14550
510.5,0,32610,0,24680,15800,14790
511.5,0,29810,0,25010,14500,15060
512.5,0,27180,0,25340,13310,15360
513.5,0,24710,0,25680,12200,15670
514.5,0,22410,0,26020,11180,16020
515.5,0,20270,0,26350,10240,16390
516.5,0,18290,0,26690,9370,16780
517.5,0,16460,0,27030,8560,17210
518.5,0,14770,0,27360,7820,17670
519.5,0,13230,0,27700,7140,18160
520.5,0,11810,0,28030,6520,18680
521.5,0,10520,0,28370,5940,19230
522.5,0,9350,0,28700,5410,19830
523.5,0,8280,0,29020,4930,20450
524.5,0,7320,0,29350,4480,21120
525.5,0,6460,0,29670,4070,21820
526.5,0,5680,0,29990,3700,22570
527.5,0,4980,0,30300,3360,23350
528.5,0,4360,0,30610,3040,24170
529.5,0,3810,0,30910,2760,25040
530.5,0,3310,0,31210,2500,25950
531.5,0,2880,0,31500,2260,26900
532.5,0,2490,0,31790,2040,27890
533.5,0,2150,0,32070,1840,28920
534.5,0,1860,0,32340,1660,30000
535.5,0,1600,0,32600,1500,31110
536.5,0,1370,0,32850,1350,32270
537.5,0,1170,0,33100,1210,33460
538.5,0,1000,0,33340,1090,34690
539.5,0,850,0,33570,980,35950
540.5,0,720,0,33790,880,37230
541.5,0,610,0,34000,780,38550
542.5,0,520,0,34200,700,39890
543.5,0,440,0,34380,630,41250
544.5,0,370,0,34560,560,42620
545.5,0,310,0,34730,500,44010
546.5,0,260,0,34880,450,45400
547.5,0,220,0,35030,400,46780
548.5,0,180,0,35160,350,48160
549.5,0,150,0,35280,310,49520
550.5,0,120,0,35390,280,50870
551.5,0,100,0,35490,250,52180
552.5,0,80,0,35580,220,53460
553.5,0,70,0,35650,190,54690
554.5,0,60,0,35710,170,55870
555.5,0,50,0,35760,150,56990
556.5,0,40,0,35800,130,58050
557.5,0,30,0,35830,120,59030
558.5,0,30,0,35840,100,59920
559.5,0,20,0,35850,90,60730
560.5,0,20,0,35840,80,61440
561.5,0,10,0,35820,70,62050
562.5,0,10,0,35800,60,62550
563.5,0,0,0,35760,50,62930
564.5,0,0,0,35710,50,63190
565.5,0,0,0,35660,40,63330
566.5,0,0,0,35590,30,63350
567.5,0,0,0,35520,30,63230
568.5,0,0,0,35440,30,62980
569.5,0,0,0,35350,20,62610
570.5,0,0,0,35260,20,62100
571.5,0,0,0,35160,20,61460
572.5,0,0,0,35050,10,60700
573.5,0,0,0,34940,10,59810
574.5,0,0,0,34830,10,58800
575.5,0,0,0,34720,0,57680
576.5,0,0,0,34600,0,56450
577.5,0,0,0,34480,0,55120
578.5,0,0,0,34360,0,53690
579.5,0,0,0,34250,0,52180
580.5,0,0,0,34130,0,50590
581.5,0,0,0,34020,0,48930
582.5,0,0,0,33910,0,47220
583.5,0,0,0,33810,0,45450
584.5,0,0,0,33710,0,43650
585.5,0,0,0,33620,0,41820
586.5,0,0,0,33540,0,39960
587.5,0,0,0,33460,0,38100
588.5,0,0,0,33400,0,36240
589.5,0,0,0,33350,0,34380
