size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,3d_rnaEasy_1.0_AMG
284.5,403505300,556697800,470025200,255360400
285.5,390717200,550677900,465232000,250824160
286.5,378255600,544552000,460286600,246362960
287.5,366121800,538326200,455195800,241975520
288.5,354315800,532006700,449966800,237660400
289.5,342836600,525599500,444606900,233416160
290.5,331682300,519110400,439123700,229241600
291.5,320849900,512545300,433524900,225135360
292.5,310335700,505910000,427818500,221096080
293.5,300135200,499210300,422012500,217122640
294.5,290243500,492451800,416114900,213213680
295.5,280654800,485639900,410134000,209368080
296.5,271363300,478780100,404078000,205584640
297.5,262362300,471877700,397955000,201862080
298.5,253645300,464938000,391773100,198199360
299.5,245205100,457966000,385540500,194595360
300.5,237034800,450966700,379265000,191048960
301.5,229126800,443945000,372954600,187559040
302.5,221474000,436905600,366617000,184124640
303.5,214068800,429853300,360259700,180744720
304.5,206903900,422792400,353889900,177418240
305.5,199971800,415727500,347515000,174144240
306.5,193265400,408662800,341141700,170921760
307.5,186777300,401602500,334776900,167749920
308.5,180500400,394550500,328426700,164627680
309.5,174427900,387510800,322097600,161554240
310.5,168552900,380487300,315795200,158528800
311.5,162868700,373483500,309525200,155550320
312.5,157368800,366503100,303293000,152618240
313.5,152047100,359549400,297103500,149731520
314.5,146897400,352625800,290961500,146889520
315.5,141913800,345735400,284871300,144091440
316.5,137090500,338881400,278837200,141336480
317.5,132422100,332066700,272863000,138624080
318.5,127903200,325294100,266952300,135953440
319.5,123528800,318566500,261108200,133323920
320.5,119293800,311886300,255333900,130734880
321.5,115193500,305256200,249632100,128185600
322.5,111223400,298678500,244005200,125675600
323.5,107379000,292155500,238455500,123204240
324.5,103656200,285689500,232984900,120770880
325.5,100050800,279282500,227595100,118375040
326.5,96559100,272936500,222287700,116016160
327.5,93177200,266653400,217064000,113693760
328.5,89901600,260435000,211925000,111407280
329.5,86728800,254283100,206871600,109156240
330.5,83655700,248199100,201904600,106940240
331.5,80678800,242184800,197024300,104758800
332.5,77795400,236241400,192231300,102611520
333.5,75002300,230370300,187525700,100497840
334.5,72296900,224572900,182907500,98417520
335.5,69676400,218850300,178376600,96370160
336.5,67138300,213203600,173933000,94355280
337.5,64680000,207633900,169576100,92372560
338.5,62299200,202142000,165305600,90421680
339.5,59993600,196729000,161121000,88502240
340.5,57760900,191395600,157021600,86614000
341.5,55599000,186142500,153006700,84756640
342.5,53505800,180970500,149075600,82929760
343.5,51479500,175880200,145227300,81133040
344.5,49517900,170872100,141460900,79366320
345.5,47619400,165946800,137775600,77629280
346.5,45782100,161104700,134170100,75921600
347.5,44004300,156346100,130643600,74242960
348.5,42284300,151671400,127194800,72593280
349.5,40620500,147080900,123822700,70972080
350.5,39011400,142574900,120526000,69379200
351.5,37455300,138153400,117303600,67814400
352.5,35951000,133816600,114154300,66277360
353.5,34496800,129564700,111076900,64767920
354.5,33091400,125397500,108070000,63285840
355.5,31733600,121315200,105132600,61830720
356.5,30421900,117317700,102263200,60402480
357.5,29155100,113404700,99460800,59000800
358.5,27932000,109576300,96723900,57625440
359.5,26751300,105832300,94051400,56276160
360.5,25611900,102172300,91442000,54952640
361.5,24512600,98596100,88894500,53654720
362.5,23452300,95103400,86407600,52382080
363.5,22430000,91693900,83980200,51134560
364.5,21444500,88367100,81610900,49911760
365.5,20494800,85122500,79298700,48713520
366.5,19579900,81959900,77042300,47539520
367.5,18698800,78878500,74840600,46389440
368.5,17850600,75877800,72692400,45263120
369.5,17034200,72957300,70596600,44160240
370.5,16248800,70116300,68552000,43080400
371.5,15493500,67354100,66557600,42023440
372.5,14767300,64670000,64612200,40989040
373.5,14069400,62063200,62714900,39976880
374.5,13399000,59533000,60864500,38986720
