gene,baseMean,log2FoldChange,padj
MTMR7,4.67093604418429,0.2458888739587215,0.040809894278333696
IBTK,25.10509351652126,-2.044414867661271,0.026017067332176902
RPS20,1812.9108247077443,-0.7683390142154577,3.382298620466971e-4
UQCRC1,181.62851186719612,-0.7934304002511534,0.025606573982940355
UTP18,29.174454428993382,-1.9153866186347046,0.02305057089048479
ANLN,47.91435041009448,-1.548750928632302,0.014231169553302513
GRAMD1B,5.978510191590312,0.37387823038230694,0.014701208717147697
VIM,119.65432220055095,0.977586455455797,0.03740865390120143
MED17,40.66202754066847,3.023901179466599,3.4910733780890355e-5
PLEKHA5,18.986238825485447,2.0354323690927956,0.030194000671342463
FNIP2,29.87384063904438,2.0051862761581707,0.009885097369119838
YBX3,152.92479902036774,-1.0621834564351875,0.0055080323611665346
BCAT1,101.7709490851078,0.9767571728420619,0.03749828411002038
ACSM2B,5.586423741426155,0.3709514030540013,0.0480513680260229
SMC1A,46.11413019416714,-1.951249169052184,0.003016391585044484
HMMR,31.322839228064794,-2.3315132363462876,0.02403376124132916
GSDMB,11.157826071930101,2.6303983290089272,0.040828191897405226
ENO1,1663.8821135354515,-1.0752365894580207,3.4447291310388785e-6
ACTB,2020.5082854358777,-0.773127694549073,0.002458362882862286
UBE2T,48.75586405380445,-1.3350083450005237,0.0405346586846777
VDAC3,119.79708529159716,-1.0143682773526776,0.026445005340628408
TP53INP2,119.36961381568297,1.2418573544793763,0.0028534576010112033
SENP1,11.938079441771158,3.567380599991418,0.015175228739792004
SLC4A4,8.753416323043062,3.172757423372828,0.033754736546086656
HSP90AA1,1149.898049597869,-0.5475792777299129,0.02403376124132916
HSD17B2,19.481029968373377,1.9960609806692864,0.045053381788058365
FTL,5482.369582631978,-0.7133115742843092,0.0043022015544210085
TPX2,35.93120788869593,-2.265600641806143,0.01313397342643719
DYNLL1,379.72606471178557,-0.5561259838502134,0.0480513680260229
ESF1,933.6757003731493,-0.912466454017208,0.0013824672211846729
RPLP0,2742.184000783791,-0.7640875002117178,6.808985225843772e-4
BIRC5,134.58408602423893,-1.1381600016073332,0.003625573913327585
GPATCH2L,48.654511226046246,1.5553838446841486,0.033197433327566306
LGALS1,443.4867691647419,-0.6339810923396393,0.020423126722045114
SNU13,239.11716982022372,-1.0340534191221595,0.0010323516221337561
TRIM9,8.52708578410283,3.3156195972740115,0.03351186560049693
CDKN3,81.97668207171499,-1.4812603856760602,0.003042733455170788
EIF5,390.60762492582353,-0.6973523485628103,0.020453214017090632
RPS6KA5,54.4619051379495,1.6264244125348668,0.012433863129433585
SRP54,62.59902901647131,-1.2046226776817952,0.04019569450244295
PSMA6,393.2081811306108,-0.6401568250620701,0.030002803082736392
PNN,142.03934029331225,-0.9855175050366033,0.03499471130132753
NOP56,130.2289437709341,-1.1818747553377638,0.0043022015544210085
TBL1X,13.555337355633592,2.1616266005267084,0.047888819564721394
PGK1,468.26984250782044,-0.8052951644112313,0.005886020664277811
COTL1,177.02179576962257,-1.577314347068008,3.4910733780890355e-5
