size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,2d_rnaEasy_NA_DMSO
241.5,977968900,639606800,498018400,386048400
242.5,973576000,642577500,500923000,389576300
243.5,968377700,645309200,503705300,393002300
244.5,962381000,647799000,506361200,396323700
245.5,955596100,650044700,508886900,399538400
246.5,948036500,652044200,511278300,402644000
247.5,939719100,653795700,513531200,405638700
248.5,930663700,655297800,515641600,408520600
249.5,920893300,656549200,517605300,411288400
250.5,910433700,657549100,519418200,413940400
251.5,899313500,658297100,521075900,416475700
252.5,887563800,658793000,522574400,418893000
253.5,875218100,659037000,523909600,421191700
254.5,862311800,659029500,525077300,423370900
255.5,848882200,658771500,526073600,425430100
256.5,834968100,658264200,526894400,427368900
257.5,820609600,657509000,527536000,429187100
258.5,805847900,656507900,527994700,430884500
259.5,790724800,655263000,528266900,432461000
260.5,775282300,653776900,528349300,433916900
261.5,759562900,652052300,528238700,435252400
262.5,743608700,650092400,527932200,436467700
263.5,727461500,647900600,527427100,437563300
264.5,711162400,645480600,526721100,438539700
265.5,694751500,642836300,525812000,439397500
266.5,678268100,639972000,524698100,440137500
267.5,661749900,636892000,523378000,440760300
268.5,645233200,633601100,521850600,441266800
269.5,628752700,630104200,520115300,441658000
270.5,612341300,626406200,518171900,441934700
271.5,596030000,622512500,516020500,442097900
272.5,579847900,618428500,513661700,442148700
273.5,563822000,614159700,511096600,442088100
274.5,547977300,609711800,508326800,441917300
275.5,532336500,605090600,505354200,441637300
276.5,516920600,600302100,502181200,441249400
277.5,501748100,595352100,498810700,440754600
278.5,486835600,590246800,495246100,440154100
279.5,472197700,584992300,491491200,439449100
280.5,457847100,579594800,487550200,438640800
281.5,443794400,574060300,483427900,437730100
282.5,430048700,568395200,479129200,436718400
283.5,416617100,562605700,474659700,435606600
284.5,403505300,556697800,470025200,434395900
285.5,390717200,550677900,465232000,433087200
286.5,378255600,544552000,460286600,431681500
287.5,366121800,538326200,455195800,430179800
288.5,354315800,532006700,449966800,428583000
289.5,342836600,525599500,444606900,426891900
290.5,331682300,519110400,439123700,425107400
291.5,320849900,512545300,433524900,423230000
292.5,310335700,505910000,427818500,421260700
293.5,300135200,499210300,422012500,419199800
294.5,290243500,492451800,416114900,417048100
295.5,280654800,485639900,410134000,414806000
296.5,271363300,478780100,404078000,412474000
297.5,262362300,471877700,397955000,410052400
298.5,253645300,464938000,391773100,407541600
299.5,245205100,457966000,385540500,404941800
300.5,237034800,450966700,379265000,402253300
301.5,229126800,443945000,372954600,399476300
302.5,221474000,436905600,366617000,396610900
303.5,214068800,429853300,360259700,393657300
304.5,206903900,422792400,353889900,390615500
305.5,199971800,415727500,347515000,387485700
306.5,193265400,408662800,341141700,384268000
307.5,186777300,401602500,334776900,380962300
308.5,180500400,394550500,328426700,377569000
309.5,174427900,387510800,322097600,374088000
310.5,168552900,380487300,315795200,370519500
311.5,162868700,373483500,309525200,366863900
312.5,157368800,366503100,303293000,363121400
313.5,152047100,359549400,297103500,359292300
314.5,146897400,352625800,290961500,355377200
315.5,141913800,345735400,284871300,351376600
316.5,137090500,338881400,278837200,347291200
317.5,132422100,332066700,272863000,343121900
318.5,127903200,325294100,266952300,338869700
319.5,123528800,318566500,261108200,334535700
320.5,119293800,311886300,255333900,330121300
321.5,115193500,305256200,249632100,325628000
322.5,111223400,298678500,244005200,321057500
323.5,107379000,292155500,238455500,316411900
324.5,103656200,285689500,232984900,311693300
325.5,100050800,279282500,227595100,306904100
326.5,96559100,272936500,222287700,302046900
327.5,93177200,266653400,217064000,297124800
328.5,89901600,260435000,211925000,292140900
329.5,86728800,254283100,206871600,287098700
330.5,83655700,248199100,201904600,282001800
331.5,80678800,242184800,197024300,276854200
332.5,77795400,236241400,192231300,271660100
333.5,75002300,230370300,187525700,266424100
334.5,72296900,224572900,182907500,261150700
335.5,69676400,218850300,178376600,255845100
336.5,67138300,213203600,173933000,250512300
337.5,64680000,207633900,169576100,245157700
338.5,62299200,202142000,165305600,239787000
339.5,59993600,196729000,161121000,234405900
340.5,57760900,191395600,157021600,229020200
341.5,55599000,186142500,153006700,223636100
342.5,53505800,180970500,149075600,218259600
343.5,51479500,175880200,145227300,212897000
344.5,49517900,170872100,141460900,207554500
345.5,47619400,165946800,137775600,202238300
346.5,45782100,161104700,134170100,196954900
347.5,44004300,156346100,130643600,191710300
348.5,42284300,151671400,127194800,186510600
349.5,40620500,147080900,123822700,181362100
350.5,39011400,142574900,120526000,176270400
351.5,37455300,138153400,117303600,171241400
352.5,35951000,133816600,114154300,166280500
353.5,34496800,129564700,111076900,161393000
354.5,33091400,125397500,108070000,156584000
355.5,31733600,121315200,105132600,151858200
356.5,30421900,117317700,102263200,147219900
357.5,29155100,113404700,99460800,142673300
358.5,27932000,109576300,96723900,138222200
359.5,26751300,105832300,94051400,133869800
360.5,25611900,102172300,91442000,129619200
361.5,24512600,98596100,88894500,125472900
362.5,23452300,95103400,86407600,121433200
363.5,22430000,91693900,83980200,117501800
364.5,21444500,88367100,81610900,113680200
365.5,20494800,85122500,79298700,109969200
366.5,19579900,81959900,77042300,106369600
367.5,18698800,78878500,74840600,102881400
368.5,17850600,75877800,72692400,99504500
369.5,17034200,72957300,70596600,96238500
370.5,16248800,70116300,68552000,93082300
371.5,15493500,67354100,66557600,90034700
372.5,14767300,64670000,64612200,87094400
373.5,14069400,62063200,62714900,84259400
374.5,13399000,59533000,60864500,81527700
375.5,12755200,57078400,59060100,78897100
376.5,12137100,54698700,57300600,76365000
377.5,11544100,52392800,55585100,73928800
378.5,10975300,50159900,53912500,71585600
379.5,10430000,47999000,52282100,69332400
380.5,9907400,45908900,50692700,67166300
381.5,9406800,43888800,49143600,65084100
382.5,8927400,41937300,47633800,63082600
383.5,8468600,40053500,46162500,61158600
384.5,8029700,38236100,44728900,59308800
385.5,7610000,36484000,43332100,57530100
386.5,7208900,34795900,41971400,55819200
387.5,6825700,33170500,40645800,54173100
388.5,6459800,31606700,39354800,52588700
389.5,6110500,30102900,38097500,51062900
390.5,5777400,28658000,36873200,49592900
391.5,5459800,27270600,35681300,48175900
392.5,5157100,25939200,34520900,46809200
393.5,4868800,24662600,33391500,45490200
394.5,4594300,23439200,32292400,44216300
395.5,4333100,22267600,31223000,42985400
396.5,4084800,21146500,30182600,41795000
397.5,3848700,20074300,29170600,40643200
398.5,3624500,19049600,28186400,39527900
399.5,3411600,18071000,27229600,38447300
