size,,3d_rnaEasy_DMSO_2,2d_rnaEasy_DMSO_1,3d_rnaEasy_DMSO_1
169.5,,583860500,139809000,75716800
170.5,,605286000,140928600,79900500
171.5,,627205400,142074600,84285000
172.5,,649581900,143253600,88864100
173.5,,672376600,144471800,93630800
174.5,,695548800,145735600,98576800
175.5,,719056700,147051000,103693400
176.5,,742856900,148423800,108971200
177.5,,766905300,149859500,114400500
178.5,,791157100,151363300,119971200
179.5,,815566700,152940200,125673600
180.5,,840088400,154594800,131497700
181.5,,864676300,156331300,137434000
182.5,,889284700,158153600,143473500
183.5,,913867900,160065200,149607400
184.5,,938380700,162069300,155827900
185.5,,962778500,164168600,162127600
186.5,,987016900,166365800,168499700
187.5,,1011052700,168662700,174938200
188.5,,1034843200,171061200,181437800
189.5,,1058346500,173562500,187993600
190.5,,1081521700,176167800,194601200
191.5,,1104329000,178877600,201257000
192.5,,1126729200,181692300,207957400
193.5,,1148684600,184611900,214699100
194.5,,1170158000,187636000,221479200
195.5,,1191113700,190764100,228294600
196.5,,1211516800,193995100,235142200
197.5,,1231333700,197327800,242018800
198.5,,1250531700,200760600,248920900
199.5,,1269079300,204291600,255844900
200.5,,1286946200,207918700,262786500
201.5,,1304103200,211639400,269741000
202.5,,1320522100,215451000,276703600
203.5,,1336176000,219350600,283668500
204.5,,1351039300,223334800,290629700
205.5,,1365087300,227400300,297580700
206.5,,1378297000,231543200,304514200
207.5,,1390646100,235759700,311422900
208.5,,1402113900,240045400,318298900
209.5,,1412681000,244396100,325133700
210.5,,1422329200,248807100,331918900
211.5,,1431041600,253273600,338645700
212.5,,1438802900,257790700,345305100
213.5,,1445598800,262353200,351888300
214.5,,1451416900,266955900,358386200
215.5,,1456245800,271593400,364790000
216.5,,1460075700,276260100,371090900
217.5,,1462898500,280950500,377280700
218.5,,1464707500,285658800,383351200
219.5,,1465497300,290379300,389294700
220.5,,1465264500,295106200,395103900
221.5,,1464007000,299833700,400772100
222.5,,1461724400,304556000,406293100
223.5,,1458418200,309267100,411661200
224.5,,1454091300,313961400,416871500
225.5,,1448748400,318633100,421919500
226.5,,1442396200,323276500,426801500
227.5,,1435042900,327886000,431514100
228.5,,1426698700,332456100,436055000
229.5,,1417375500,336981500,440422200
